Timestamp,V_RMS,I_RMS,KW,KVAR,KVA,KWH,PF,V_THD,I_THD,Temperature_C,Cloud_Cover_Percentage,Day_of_Year,Hour_of_Day,Humidity_Percentage,Root_Cause,Equipment_Condition
01-03-2023 00:00,231.28,9.35,3.409,-1.556,3.74732131,0.852,0.90971625,1.8,6.87,32.1,21.7,60,0,37.7,Normal,Healthy
01-03-2023 00:15,230.67,16.74,5.587,3.677,6.688415208,2.249,0.83532481,3.2,5.32,35.8,16.4,60,0.25,22.4,Normal,Healthy
01-03-2023 00:30,230.76,8.05,2.92,-1.355,3.219072071,2.979,0.90709342,2.08,6.18,36.4,29.8,60,0.5,40.1,Normal,Healthy
01-03-2023 00:45,230.31,10.68,4.159,-0.917,4.258893049,4.019,0.976544603,1.42,5.23,34.4,11.2,60,0.75,36.5,Normal,Healthy
01-03-2023 01:00,230.24,6.21,2.387,0.666,2.478169687,4.615,0.963210489,2.45,4.08,36.8,6,60,1,26.1,Normal,Healthy
01-03-2023 01:15,229.88,10.65,3.933,1.586,4.240741091,5.599,0.927432019,2.62,6.32,32.8,21.6,60,1.25,29.8,Normal,Healthy
01-03-2023 01:30,230.16,13.59,4.918,-2.276,5.419123545,6.828,0.90752666,1.42,6.6,36.2,14.2,60,1.5,51.6,Normal,Healthy
01-03-2023 01:45,232.08,10.48,3.989,-1.354,4.212533323,7.825,0.946935905,1.32,6.54,35.3,19.1,60,1.75,31.7,Normal,Healthy
01-03-2023 02:00,230.11,7.76,2.635,1.618,3.092110768,8.484,0.85216842,1.69,6.21,32.8,28,60,2,30.6,Normal,Healthy
01-03-2023 02:15,230.77,6.81,2.659,-0.577,2.720884048,9.149,0.977255545,2.72,7.6,35.5,37.1,60,2.25,40.3,Normal,Healthy
01-03-2023 02:30,229.46,10.49,3.56,2.167,4.167671892,10.039,0.854193717,1.73,5.91,35.4,26.7,60,2.5,27.2,Normal,Healthy
01-03-2023 02:45,228.74,9.29,3.398,1.415,3.680846234,10.888,0.92315703,2.79,5.85,35,11.1,60,2.75,47.9,Normal,Healthy
01-03-2023 03:00,229.06,5.13,1.959,-0.552,2.035284992,11.378,0.962518293,2.34,2.48,32.6,15.9,60,3,38.8,Normal,Healthy
01-03-2023 03:15,229.71,9.93,3.727,-1.315,3.952183447,12.31,0.943022789,1.48,4.68,35.1,8.4,60,3.25,35.3,Normal,Healthy
01-03-2023 03:30,230.2,12.69,4.451,2.41,5.061571001,13.423,0.879371073,2.63,6.19,32.2,0,60,3.5,36.8,Normal,Healthy
01-03-2023 03:45,231.83,10.75,3.71,-2.207,4.316821632,14.35,0.859428408,2.71,5.19,34.9,35.7,60,3.75,30,Normal,Healthy
